open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1533686400,1533772799,13.43,13.43,12.65,12.99,3567.66
1533772800,1533859199,13.03,13.3,12.4,12.98,8876.01
1533859200,1533945599,12.98,13.5,12.38,12.58,8023.34
1533945600,1534031999,12.57,12.57,11.0,11.63,7244.32
1534032000,1534118399,11.6,12.0,11.2,11.6,3552.25
1534118400,1534204799,11.7,11.8,10.49,10.49,9994.52
1534204800,1534291199,10.48,10.49,9.0,10.37,19893.4
1534291200,1534377599,10.41,11.73,10.33,11.64,40791.5
1534377600,1534463999,11.44,13.37,11.36,12.2,58182.18
1534464000,1534550399,12.3,12.9,11.43,12.79,37150.94
1534550400,1534636799,12.79,12.9,10.56,11.69,27221.31
1534636800,1534723199,11.62,12.04,11.3,11.65,7708.05
1534723200,1534809599,11.66,11.86,10.67,10.82,20009.15
1534809600,1534895999,10.78,11.17,10.68,10.99,13134.03
1534896000,1534982399,10.96,11.57,10.24,10.61,27280.55
1534982400,1535068799,10.53,10.95,10.48,10.82,12765.91
1535068800,1535155199,10.74,10.85,10.64,10.8,6930.09
1535155200,1535241599,10.81,11.04,10.72,10.83,2241.71
1535241600,1535327999,10.8,10.85,10.45,10.72,3650.02
1535328000,1535414399,10.72,10.86,10.56,10.86,16412.49
1535414400,1535500799,10.87,11.51,10.79,11.36,22555.9
1535500800,1535587199,11.35,11.4,10.92,11.11,18722.14
1535587200,1535673599,11.12,11.17,10.69,11.0,10297.53
1535673600,1535759999,11.0,11.14,10.76,10.99,7135.0
1535760000,1535846399,10.98,11.75,10.98,11.32,14342.53
1535846400,1535932799,11.31,11.6,11.22,11.54,12692.24
1535932800,1536019199,11.55,12.54,11.55,12.09,28942.02
1536019200,1536105599,12.1,12.41,11.85,12.06,19713.52
1536105600,1536191999,12.08,12.14,10.08,10.08,30659.6
1536192000,1536278399,10.12,10.49,9.57,10.49,14603.08
1536278400,1536364799,10.35,10.59,9.86,10.09,22470.67
1536364800,1536451199,10.08,10.5,9.36,9.78,23445.7
1536451200,1536537599,9.78,10.5,9.51,9.77,13879.59
1536537600,1536623999,9.82,10.0,9.5,9.82,11891.2
1536624000,1536710399,9.85,10.0,9.4,9.73,22119.02
1536710400,1536796799,9.68,9.74,8.74,9.22,44916.63
1536796800,1536883199,9.22,9.81,9.21,9.52,40077.9
1536883200,1536969599,9.51,9.73,9.35,9.48,21972.56
1536969600,1537055999,9.48,10.12,9.45,9.84,22806.68
1537056000,1537142399,9.82,9.82,9.46,9.67,11461.68
1537142400,1537228799,9.67,9.76,8.61,8.84,33377.61
1537228800,1537315199,8.85,9.3,8.82,9.11,28360.95
1537315200,1537401599,9.1,9.62,8.83,9.25,26634.5
1537401600,1537487999,9.26,9.6,9.07,9.52,21926.62
1537488000,1537574399,9.48,10.2,9.38,9.97,52544.24
1537574400,1537660799,9.97,10.07,9.59,9.78,19465.22
1537660800,1537747199,9.77,10.02,9.7,9.9,16014.88
1537747200,1537833599,9.9,9.9,9.33,9.43,26086.02
1537833600,1537919999,9.43,9.65,8.88,9.46,30463.12
1537920000,1538006399,9.45,9.69,9.24,9.38,28646.31
1538006400,1538092799,9.38,9.94,9.22,9.84,35152.24
1538092800,1538179199,9.84,9.98,9.6,9.64,27991.68
1538179200,1538265599,9.63,9.87,9.48,9.81,11174.5
1538265600,1538351999,9.83,9.89,9.6,9.8,10767.83
1538352000,1538438399,9.78,9.81,9.52,9.72,18162.84
1538438400,1538524799,9.71,9.79,9.63,9.65,12610.14
1538524800,1538611199,9.65,9.72,9.4,9.71,20348.0
1538611200,1538697599,9.7,9.73,9.55,9.61,9391.83
1538697600,1538783999,9.61,9.66,9.52,9.61,14283.61
1538784000,1538870399,9.6,9.6,9.43,9.51,10178.5
1538870400,1538956799,9.49,9.55,9.28,9.5,9455.65
1538956800,1539043199,9.5,9.61,9.43,9.54,11142.53
1539043200,1539129599,9.54,9.56,9.46,9.49,16783.66
1539129600,1539215999,9.49,9.49,9.28,9.37,26410.4
1539216000,1539302399,9.35,9.35,7.76,7.85,62502.22
1539302400,1539388799,7.86,8.34,7.8,8.18,22628.9
1539388800,1539475199,8.18,8.3,8.13,8.22,8541.11
1539475200,1539561599,8.22,8.34,8.02,8.06,9741.85
1539561600,1539647999,8.06,9.0,7.79,8.26,38752.47
1539648000,1539734399,8.26,8.32,8.15,8.25,18833.04
1539734400,1539820799,8.27,8.6,8.15,8.43,23784.78
1539820800,1539907199,8.44,8.45,8.19,8.28,18299.79
1539907200,1539993599,8.28,8.34,8.2,8.28,4976.07
1539993600,1540079999,8.28,8.38,8.24,8.32,4936.4
1540080000,1540166399,8.32,8.42,8.28,8.28,5797.71
1540166400,1540252799,8.28,8.8,8.25,8.65,38850.03
1540252800,1540339199,8.65,8.79,8.38,8.45,9002.22
1540339200,1540425599,8.49,8.58,8.42,8.46,9365.99
1540425600,1540511999,8.45,8.46,8.35,8.41,7166.49
1540512000,1540598399,8.43,8.48,8.33,8.38,9824.12
1540598400,1540684799,8.41,8.41,8.36,8.38,3420.59
1540684800,1540771199,8.38,8.44,8.37,8.38,6354.44
1540771200,1540857599,8.39,8.44,7.78,7.93,25814.79
1540857600,1540943999,7.94,8.04,7.84,7.93,9211.9
1540944000,1541030399,7.92,8.03,7.74,7.98,8637.23
1541030400,1541116799,7.96,7.98,7.86,7.93,8251.06
1541116800,1541203199,7.92,8.08,7.87,8.01,12319.19
1541203200,1541289599,8.01,8.05,7.92,7.99,7350.86
1541289600,1541375999,8.01,8.42,7.97,8.34,13538.79
1541376000,1541462399,8.33,8.34,8.11,8.26,11961.43
1541462400,1541548799,8.26,8.69,8.19,8.69,19870.42
1541548800,1541635199,8.69,8.69,8.35,8.42,15470.53
1541635200,1541721599,8.44,8.47,8.23,8.29,16077.64
1541721600,1541807999,8.29,8.46,8.27,8.34,7856.34
1541808000,1541894399,8.33,8.44,8.32,8.33,5138.55
1541894400,1541980799,8.33,8.34,7.9,8.09,7245.48
1541980800,1542067199,8.1,8.17,8.08,8.11,5735.39
1542067200,1542153599,8.11,8.15,7.92,7.92,9020.74
1542153600,1542239999,7.93,8.15,6.0,6.97,88788.05
